Date,AAPL,AMZN
2000-07-31,3.142018,30.125
2000-08-01,3.049264,30.25
2000-08-02,2.921729,30.8125
2000-08-03,2.968105,31.5
2000-08-04,2.929458,32.5
2000-08-07,2.964241,33.8125
2000-08-08,2.890811,32.9375
2000-08-09,2.937188,30.875
2000-08-10,2.941052,30.4375
2000-08-11,2.948782,33.6875
2000-08-14,2.910135,34.875
2000-08-15,2.886945,37.5625
2000-08-16,2.999023,38.625
2000-08-17,3.180665,38.25
2000-08-18,3.091776,39.0
2000-08-21,3.122694,37.5
2000-08-22,3.196123,36.5
2000-08-23,3.358442,38.8125
2000-08-24,3.469553,39.375
2000-08-25,3.513031,39.9375
2000-08-28,3.590326,39.125
2000-08-29,3.659891,39.625
2000-08-30,3.679214,42.9375
2000-08-31,3.768103,41.5
2000-09-01,3.922692,41.5
2000-09-05,3.860855,45.6875
2000-09-06,3.613513,45.875
2000-09-07,3.833802,43.5
2000-09-08,3.640566,42.9375
2000-09-11,3.613513,42.375
2000-09-12,3.571001,42.6875
2000-09-13,3.586461,42.4375
2000-09-14,3.515929,44.875
2000-09-15,3.415447,43.625
2000-09-18,3.750711,42.8125
2000-09-19,3.706267,40.75
2000-09-20,3.774866,37.5
2000-09-21,3.505302,40.0625
2000-09-22,3.227041,41.4375
2000-09-25,3.308201,40.375
2000-09-26,3.180665,39.75
2000-09-27,3.026076,37.875
2000-09-28,3.308201,40.0
2000-09-29,1.592265,38.4375
2000-10-02,1.499511,35.875
2000-10-03,1.379705,35.0625
2000-10-04,1.460864,36.0
2000-10-05,1.364247,33.5625
2000-10-06,1.371976,31.5625
2000-10-09,1.344923,30.0625
2000-10-10,1.290816,30.4375
2000-10-11,1.213522,27.8125
2000-10-12,1.236711,25.125
2000-10-13,1.364247,28.4375
2000-10-16,1.329464,24.3125
2000-10-17,1.24444,21.9375
2000-10-18,1.24444,25.125
2000-10-19,1.17101,27.75
2000-10-20,1.205793,30.8125
2000-10-23,1.259899,30.0
2000-10-24,1.167145,29.5625
2000-10-25,1.143957,31.875
2000-10-26,1.143957,36.875
2000-10-27,1.147822,35.625
2000-10-30,1.194199,32.875
2000-10-31,1.209657,36.625
2000-11-01,1.267628,37.375
2000-11-02,1.379705,39.75
2000-11-03,1.37584,37.5625
2000-11-06,1.325599,36.5625
2000-11-07,1.31787,36.9375
2000-11-08,1.240575,33.875
2000-11-09,1.248305,31.25
2000-11-10,1.17874,30.0625
2000-11-13,1.198063,27.8125
2000-11-14,1.252169,28.9375
