Date,AAPL,AMZN,GE,MSFT,T,VZ,XOM
2000-07-31,3.142018,30.125,26.673628,22.333832,15.639582,16.185995,22.128428
2000-08-01,3.049264,30.25,27.221933,21.973925,16.052965,16.597147,22.076693
2000-08-02,2.921729,30.8125,26.83489,22.193867,16.282619,16.575506,22.870071
2000-08-03,2.968105,31.5,27.286444,22.473787,16.167789,16.618778,22.473387
2000-08-04,2.929458,32.5,27.544462,22.113888,16.144821,16.250933,22.546694
2000-08-07,2.964241,33.8125,27.157427,22.393806,16.305584,16.575506,22.322466
2000-08-08,2.890811,32.9375,27.737991,23.713444,15.616621,14.714556,22.2966
2000-08-09,2.937188,30.875,28.866856,23.753437,15.318069,13.97882,22.3699
2000-08-10,2.941052,30.4375,29.415178,23.233572,15.547719,14.584722,22.597967
2000-08-11,2.948782,33.6875,29.189388,23.173594,15.639582,14.368328,22.702599
2000-08-14,2.910135,34.875,29.415178,23.093628,15.386958,14.714556,23.033882
2000-08-15,2.886945,37.5625,29.544189,22.91367,15.432896,14.541432,22.68516
2000-08-16,2.999023,38.625,29.318422,22.713718,15.180269,14.454882,23.090563
2000-08-17,3.180665,38.25,29.253902,22.893671,14.514272,14.108657,23.382618
2000-08-18,3.091776,39.0,28.995876,22.713718,14.445374,14.692909,23.134144
2000-08-21,3.122694,37.5,29.189388,22.593756,14.720966,14.822744,23.295433
2000-08-22,3.196123,36.5,29.028128,22.793701,14.560203,14.454882,23.190811
2000-08-23,3.358442,38.8125,29.898973,22.633747,14.766891,14.022102,23.574438
2000-08-24,3.469553,39.375,30.41502,22.753708,14.881717,14.411594,23.138512
2000-08-25,3.513031,39.9375,30.576303,22.593756,15.134341,14.930937,23.138512
2000-08-28,3.590326,39.125,30.963333,22.813698,15.478825,15.168966,23.103638
2000-08-29,3.659891,39.625,30.898823,22.693729,15.547719,14.844387,23.020811
2000-08-30,3.679214,42.9375,29.673193,22.393806,15.478825,15.320439,22.698231
2000-08-31,3.768103,41.5,30.253752,22.333832,15.346775,15.066178,22.776699
2000-09-01,3.922692,41.5,30.189257,22.453796,15.777373,15.255521,23.016441
2000-09-05,3.860855,45.6875,29.834455,22.433807,15.869244,15.060782,23.260572
2000-09-06,3.613513,45.875,30.447268,22.213856,15.754416,14.757824,23.155937
2000-09-07,3.833802,43.5,30.447268,22.413807,15.708488,15.104052,23.365189
2000-09-08,3.640566,42.9375,30.898823,22.173874,16.558216,15.342077,23.295433
2000-09-11,3.613513,42.375,30.802063,22.013914,16.879725,15.60175,23.709558
2000-09-12,3.571001,42.6875,30.47953,21.793983,16.764896,15.536833,23.923168
2000-09-13,3.586461,42.4375,30.47953,21.833963,16.673035,15.017497,23.940596
2000-09-14,3.515929,44.875,30.447268,21.054178,16.489307,15.060782,23.788027
2000-09-15,3.415447,43.625,29.28614,20.534325,16.259655,15.407001,24.550892
2000-09-18,3.750711,42.8125,29.673193,20.154434,16.443378,15.017497,25.008595
2000-09-19,3.706267,40.75,29.415178,20.794258,16.718967,15.125694,24.550892
2000-09-20,3.774866,37.5,29.221647,20.554321,16.328554,14.541432,24.132401
2000-09-21,3.505302,40.0625,29.028128,20.534325,17.155313,14.281766,24.080088
2000-09-22,3.227041,41.4375,29.576437,20.234407,17.61463,15.039131,24.132401
2000-09-25,3.308201,40.375,29.963478,19.594585,17.82132,14.930937,23.953676
2000-09-26,3.180665,39.75,29.931231,20.054461,17.752426,15.017497,24.167269
2000-09-27,3.026076,37.875,30.673065,19.394642,17.430901,15.039131,24.899607
2000-09-28,3.308201,40.0,30.447268,19.614574,18.257662,16.359118,24.869099
2000-09-29,1.592265,38.4375,29.90653,19.294668,18.326561,16.770254,24.860388
2000-10-02,1.499511,35.875,30.262175,18.914776,18.395462,16.402386,25.509893
2000-10-03,1.379705,35.0625,30.553154,18.094994,18.349543,16.488951,25.335535
2000-10-04,1.460864,36.0,30.45616,17.735107,19.015522,17.116482,24.899607
2000-10-05,1.364247,33.5625,30.9088,17.715109,19.778494,18.117287,24.882183
2000-10-06,1.371976,31.5625,30.747149,17.775089,19.686182,17.593414,24.951933
2000-10-09,1.344923,30.0625,30.262175,17.335213,19.363081,17.331478,25.422718
2000-10-10,1.290816,30.4375,30.035856,17.455177,18.809185,16.960402,26.033016
2000-10-11,1.213522,27.8125,29.292221,17.835073,18.139906,16.218252,26.155052
2000-10-12,1.236711,25.125,28.192963,17.395191,18.416845,16.043625,26.25968
2000-10-13,1.364247,28.4375,29.486227,17.195248,18.509161,16.240076,25.248346
2000-10-16,1.329464,24.3125,29.874197,16.115547,18.73995,16.218252,24.498568
2000-10-17,1.24444,21.9375,28.774931,16.135536,19.363081,16.894917,24.498568
2000-10-18,1.24444,25.125,28.71026,16.555422,19.455391,16.698463,24.149834
2000-10-19,1.17101,27.75,28.774931,19.794525,19.224602,16.785782,24.132401
2000-10-20,1.205793,30.8125,26.964367,20.854239,18.73995,16.916744,24.672945
2000-10-23,1.259899,30.0,25.735785,19.874514,19.986198,17.353306,24.847309
2000-10-24,1.167145,29.5625,27.610998,19.674564,19.893885,17.527931,24.202152
