Date,BAC,GS,JPM,MS
2000-08-07,13.378245,90.623505,29.511238,56.947296
2000-08-08,13.2665,89.779335,29.476782,55.829308
2000-08-09,13.553856,91.31871,28.822517,56.766968
2000-08-10,13.649644,88.984856,28.581467,55.757149
2000-08-11,13.809291,95.241608,28.650352,58.642368
2000-08-14,14.04876,95.93679,29.063555,60.048927
2000-08-15,13.873147,93.900856,28.547047,58.570259
2000-08-16,13.665606,89.779335,27.755024,56.839081
2000-08-17,13.681574,94.248466,27.927191,58.96698
2000-08-18,13.729471,92.957413,27.961626,57.957127
2000-08-21,13.761395,93.602928,28.064939,58.786652
2000-08-22,13.905077,95.241608,29.063555,59.363682
2000-08-23,13.809291,94.546402,29.924446,58.624348
2000-08-24,13.410178,93.950508,29.339041,59.507954
2000-08-25,13.218608,94.844322,28.684786,58.425983
2000-08-28,13.202649,97.277573,29.029137,59.363682
2000-08-29,12.995105,101.250092,28.581467,60.301388
2000-08-30,13.255658,98.270653,29.339041,61.094841
2000-08-31,13.959963,102.888733,30.785343,62.077618
2000-09-01,13.679055,102.988045,31.026382,62.140747
2000-09-05,13.939602,102.342552,31.474047,61.707947
2000-09-06,13.97218,101.796295,30.854208,61.275162
2000-09-07,14.167596,102.243187,31.542921,60.589905
2000-09-08,14.574703,98.71756,31.852846,60.878429
2000-09-11,14.737555,104.874962,31.680677,63.114498
2000-09-12,14.851548,104.328781,29.097994,62.284969
2000-09-13,14.802688,102.094223,27.927191,60.301388
2000-09-14,14.676489,102.491486,27.548409,60.553844
2000-09-15,14.297872,99.214165,27.066307,56.839081
2000-09-18,13.988461,94.198814,25.654451,53.953888
2000-09-19,14.297872,95.291275,25.826635,56.262074
2000-09-20,14.021027,93.751907,25.620014,55.360424
2000-09-21,13.809335,89.977966,24.586945,51.537491
2000-09-22,14.33044,91.269081,26.033245,52.258801
2000-09-25,14.33044,92.560173,25.895498,53.340755
2000-09-26,14.021027,88.091042,25.378967,51.176857
2000-09-27,13.727906,85.061974,25.069046,50.094879
2000-09-28,14.06988,89.779335,25.826635,51.970287
2000-09-29,13.646481,90.623505,25.447842,52.763733
2000-10-02,13.825614,91.666336,26.170988,52.294876
2000-10-03,14.118734,90.474541,25.757771,53.016178
2000-10-04,13.744193,86.948921,25.276508,52.264385
2000-10-05,14.037312,91.269081,24.652386,53.204121
2000-10-06,13.451076,86.501991,23.785566,48.722256
2000-10-09,13.174236,83.621918,23.334829,48.143948
2000-10-10,12.685695,81.586021,22.641361,43.083782
2000-10-11,12.262292,82.628792,22.57202,44.963264
2000-10-12,11.610915,74.931999,20.97707,40.915134
2000-10-13,12.132014,80.642509,22.017252,45.21627
2000-10-16,11.773755,82.330833,21.947905,44.927139
2000-10-17,11.138659,78.854889,21.046402,42.758507
2000-10-18,10.992094,77.861778,20.456984,42.21632
2000-10-19,11.480638,79.995621,21.601185,44.276516
2000-10-20,11.399212,83.475853,21.289118,46.806595
2000-10-23,11.399212,81.487137,21.289118,45.107849
2000-10-24,11.594631,80.4431,22.225281,46.98732
2000-10-25,11.480638,76.515381,22.190613,45.180138
2000-10-26,11.301502,73.930046,22.190613,44.674103
2000-10-27,11.708615,73.979813,23.681551,45.939182
2000-10-30,12.24601,76.763985,24.270979,46.77047
2000-10-31,12.522851,79.39901,25.241819,46.445168
2000-11-01,12.604272,76.913124,25.345829,45.722298
2000-11-02,12.832257,78.951553,25.241819,46.517441
2000-11-03,12.685695,79.896179,24.652386,48.324661
2000-11-06,13.304508,76.415977,25.241819,46.409016
2000-11-07,13.206802,74.576424,24.929777,44.312668
2000-11-08,12.70198,73.532341,24.166964,42.252464
2000-11-09,12.962533,73.084885,24.479027,40.951263
2000-11-10,12.604272,70.947021,23.750893,39.975357
2000-11-13,12.360002,68.70974,23.369497,39.324791
2000-11-14,11.952891,70.698425,23.612206,39.252487
2000-11-15,10.943246,71.643051,22.606697,40.481411
2000-11-16,10.910675,72.736855,22.676027,41.059689
2000-11-17,10.50356,70.052132,21.982576,39.722378
2000-11-20,10.243009,66.024986,21.393145,37.300713
2000-11-21,10.324429,66.96962,21.462494,37.915169
2000-11-22,10.047592,63.588795,20.769032,37.228432
2000-11-24,10.243009,64.831741,21.7052,37.770592
2000-11-27,10.340712,65.627243,21.843885,38.457333
2000-11-28,10.552412,64.036301,21.081087,36.79472
2000-11-29,10.902779,65.925537,21.046402,37.589867
2000-11-30,10.701804,65.328964,20.456984,36.65012
2000-12-01,10.651558,65.2295,20.699694,36.071831
2000-12-04,10.450583,65.03064,21.046402,36.975426
2000-12-05,11.036756,70.59903,22.918743,41.637989
2000-12-06,10.182621,69.803543,22.225281,40.156101
2000-12-07,10.450583,68.311974,21.739878,39.252487
2000-12-08,10.953017,73.084885,22.190613,42.903057
2000-12-11,11.639682,76.366257,23.577536,44.999416
2000-12-12,11.639682,73.532341,23.854906,42.577751
2000-12-13,11.5057,74.825012,24.687059,43.51749
2000-12-14,11.338216,69.55497,23.785566,39.433205
2000-12-15,11.204235,68.958298,24.375006,39.830791
2000-12-18,11.656423,68.361748,25.172482,40.047668
2000-12-19,11.857399,71.096169,24.860418,39.903107
2000-12-20,11.455451,71.593353,24.132294,39.650082
2000-12-21,12.276091,74.626114,25.068455,41.637989
2000-12-22,12.359827,78.603554,25.311171,42.939201
2000-12-26,12.410068,80.989983,25.380527,44.276516
2000-12-27,12.544048,81.039688,25.727245,44.276516
2000-12-28,12.544048,85.21595,26.039297,45.902996
2000-12-29,12.292843,85.066811,25.207161,45.830738
2001-01-02,12.527301,79.74704,24.409679,41.710293
2001-01-03,13.381439,91.878151,28.290749,48.396954
2001-01-04,13.800141,89.690567,29.059147,51.28849
2001-01-05,12.862257,85.812622,27.347721,48.939095
2001-01-08,12.929255,84.619392,27.522358,48.216217
2001-01-09,12.594297,83.326721,27.208008,47.710228
2001-01-10,13.012987,86.309769,28.465382,49.873325
2001-01-11,13.247465,87.900726,30.246656,50.743202
2001-01-12,13.146969,86.508644,29.792606,49.365891
2001-01-16,13.649405,87.503006,29.722765,48.677246
2001-01-17,13.280955,87.503006,29.617983,46.901218
2001-01-18,13.113475,85.607658,28.744801,46.46629
2001-01-19,13.180468,88.345131,28.255825,48.930943
2001-01-22,13.49868,90.087151,28.430443,48.640984
2001-01-23,13.49868,92.37664,28.884504,50.344528
2001-01-24,13.682902,93.869789,29.757673,48.858452
2001-01-25,13.800141,90.435547,29.652901,48.061058
2001-01-26,14.252325,91.331421,30.281576,47.843609
2001-01-29,14.475405,92.304962,30.802704,48.701912
2001-01-30,14.86395,94.463066,31.283272,49.293419
2001-01-31,14.421811,90.584862,30.730047,49.177441
2001-02-01,14.277111,94.128624,31.210632,52.077023
2001-02-02,14.362858,90.75206,30.534452,50.024109
2001-02-05,14.271749,89.270882,30.512106,50.163265
2001-02-06,13.655432,86.762383,29.215612,49.26442
2001-02-07,13.264203,83.776062,29.243546,46.509792
2001-02-08,13.063236,84.373344,28.880304,45.233952
2001-02-09,13.264203,85.806763,29.031202,46.01683
2001-02-12,13.414262,87.200378,29.366489,46.393772
2001-02-13,13.4625,84.333488,28.578556,45.93565
2001-02-14,13.612558,83.019554,28.606483,44.61924
2001-02-15,13.636675,85.368767,28.561796,44.259674
2001-02-16,13.773337,80.829559,29.053551,43.349205
2001-02-20,13.16238,76.449608,27.913542,39.933453
2001-02-21,12.795273,75.175491,26.460592,38.298084
2001-02-22,12.929255,77.405258,26.991472,39.974056
2001-02-23,13.167737,76.481529,26.292931,38.854797
2001-02-26,13.660793,78.28125,27.131172,40.130623
2001-02-27,13.781379,78.313118,26.600286,40.397404
2001-02-28,13.88821,73.065147,26.074987,37.770348
2001-03-01,13.515669,72.953644,25.767635,36.883049
2001-03-02,13.436232,72.786446,25.594393,35.404255
2001-03-05,13.444442,73.383698,26.130875,36.303143
2001-03-06,13.767677,75.932045,26.801472,37.921116
2001-03-07,14.449762,75.613457,28.081184,38.709824
2001-03-08,14.715474,73.065147,28.075611,37.335423
2001-03-09,14.381281,69.282516,27.35471,35.526047
2001-03-12,14.140218,65.690971,25.421171,32.475651
2001-03-13,14.860662,69.688622,26.488514,34.215435
2001-03-14,14.175838,66.821793,24.448788,33.055576
2001-03-15,14.3128,70.039017,25.292633,34.22121
2001-03-16,14.079965,69.720451,24.912621,33.589119
2001-03-19,14.510027,72.42009,25.231174,35.218685
2001-03-20,14.049827,69.330276,23.800558,32.76561
2001-03-21,13.956689,67.689774,22.464956,31.686962
2001-03-22,13.60606,68.414444,21.744064,30.880869
2001-03-23,14.457978,71.520233,23.30879,31.031652
2001-03-26,14.381281,71.06633,23.532322,31.605766
2001-03-27,14.923658,74.458786,24.230848,32.823608
2001-03-28,14.907226,69.481544,23.778198,31.315805
2001-03-29,14.562073,70.158478,24.029669,31.130241
2001-03-30,14.997624,67.769424,25.091455,31.02585
2001-04-02,14.794914,67.020859,24.9238,30.35894
2001-04-03,14.3128,64.751251,23.247324,28.613377
2001-04-04,13.781377,61.741039,22.813471,26.370214
2001-04-05,14.203222,68.486122,23.945972,30.530256
2001-04-06,13.584147,67.052719,22.75713,29.656298
2001-04-09,13.860818,66.893425,22.774029,29.300894
2001-04-10,14.222402,69.927528,24.396715,31.835358
2001-04-11,14.394979,72.706787,25.208063,33.589115
2001-04-12,14.504549,74.856964,25.563032,34.72525
2001-04-16,14.367586,73.089058,25.636276,33.443455
2001-04-17,14.244315,74.140244,25.563032,34.288277
2001-04-18,15.115415,79.356331,27.664633,38.978519
2001-04-19,15.449608,77.795494,27.495602,39.194084
2001-04-20,15.068844,76.272575,26.93218,38.454136
2001-04-23,15.046925,74.119766,26.650467,37.172352
2001-04-24,14.929138,72.875954,26.706785,35.890518
2001-04-25,15.038714,74.008179,26.751871,35.773991
2001-04-26,15.098971,73.74501,27.326584,36.624649
2001-04-27,15.592052,74.103874,28.087208,38.046288
2001-04-30,15.340029,72.636772,27.0336,36.583862
2001-05-01,15.463306,73.872589,27.456165,36.910145
2001-05-02,15.37017,78.138313,27.929451,38.757122
2001-05-03,15.326339,76.543701,27.608295,38.588131
2001-05-04,15.444123,77.500458,28.50979,39.240692
2001-05-07,15.403033,76.551643,27.720974,39.013474
2001-05-08,15.26059,75.945663,26.904003,38.46579
2001-05-09,15.1702,75.475235,26.622286,37.912281
2001-05-10,15.279769,75.355652,26.76877,37.871502
2001-05-11,14.660692,74.032074,26.165913,36.828568
2001-05-14,14.901751,75.028725,26.84203,37.865665
2001-05-15,15.079803,75.62674,26.639196,38.226906
2001-05-16,15.490695,79.6931,27.219517,40.260315
2001-05-17,15.504391,78.09848,27.151913,40.609901
2001-05-18,15.613961,77.540321,27.135012,40.225353
2001-05-21,15.474259,81.247917,27.850578,42.346161
2001-05-22,16.063204,82.356171,28.183004,43.266724
2001-05-23,16.054989,79.174873,27.563213,41.65863
2001-05-24,16.43301,79.613373,27.799868,41.98494
2001-05-25,16.082386,78.106438,27.439276,40.481731
2001-05-29,16.32618,77.245323,27.794226,39.666031
2001-05-30,16.409931,75.554985,27.394186,37.405384
2001-05-31,16.54114,75.826065,27.692822,37.877331
2001-06-01,16.220095,77.101799,27.546307,37.988014
2001-06-04,16.368053,76.950317,27.890018,37.871502
2001-06-05,16.736567,77.620026,27.326584,38.512405
2001-06-06,16.663986,76.176949,26.391277,37.580177
2001-06-07,16.638863,77.261269,25.709526,38.162823
2001-06-08,16.479715,76.033363,24.903811,37.632603
2001-06-11,16.398764,73.36232,24.892538,36.269241
2001-06-12,16.49926,73.242706,24.503769,35.278755
2001-06-13,16.49926,71.089951,24.734789,34.608715
2001-06-14,16.108423,69.375679,24.56012,33.414314
2001-06-15,16.197763,71.193581,25.29822,33.513359
2001-06-18,16.538357,70.683296,24.965788,33.38517
2001-06-19,16.672359,70.30854,25.084106,34.055229
2001-06-20,16.789616,70.483971,25.692621,34.579597
2001-06-21,17.13578,74.151688,26.549044,37.842354
2001-06-22,17.29212,73.434097,25.861652,37.900654
2001-06-25,17.085539,72.517128,25.816572,37.591827
2001-06-26,16.862188,71.998894,25.174255,37.183983
2001-06-27,16.839863,69.766357,24.802383,36.502285
2001-06-28,16.744942,69.048782,25.354555,37.294689
2001-06-29,16.758902,68.410881,25.055933,37.422874
2001-07-02,16.89011,67.454086,25.805307,37.143204
2001-07-03,16.887318,66.975708,25.913157,37.248459
2001-07-05,16.828695,66.975708,25.845039,37.014553
2001-07-06,16.292681,66.258102,25.266033,35.634548
2001-07-09,16.449011,65.309288,24.970865,35.511753
2001-07-10,15.907415,65.062134,23.846907,34.184391
2001-07-11,16.01071,65.062134,23.869625,33.810146
2001-07-12,16.591389,69.008896,24.147774,36.14912
2001-07-13,16.82032,68.68998,24.15345,35.915234
2001-07-16,17.13578,66.497314,23.387117,34.178539
2001-07-17,17.783478,68.450806,24.011536,34.973785
2001-07-18,17.889565,66.975708,24.738121,34.441669
2001-07-19,17.727644,66.178368,24.806246,34.41243
2001-07-20,17.546175,66.138519,24.635952,34.792515
2001-07-23,17.40659,65.173752,24.414564,34.324722
2001-07-24,17.311672,65.261459,24.227236,33.64056
2001-07-25,17.420551,66.337822,24.352125,33.400806
2001-07-26,17.618761,67.485992,24.545118,34.582008
2001-07-27,17.727644,67.725533,25.095736,34.84515
2001-07-30,17.741594,66.024796,24.868681,34.88023
2001-07-31,17.761145,66.400093,24.579178,34.97963
2001-08-01,17.588049,68.14872,24.692713,36.488293
2001-08-02,17.716473,68.907295,24.692713,36.827423
2001-08-03,17.685759,68.268501,24.590548,36.926834
2001-08-06,17.526634,67.030861,24.27265,35.815811
2001-08-07,17.602011,66.703529,24.278334,35.903522
2001-08-08,17.535004,65.314163,23.886652,34.061581
2001-08-09,17.671804,63.916885,23.784489,32.798515
2001-08-10,17.560135,64.515724,23.983145,32.681587
2001-08-13,17.66901,65.633598,23.909363,32.593853
2001-08-14,17.465216,64.91494,23.983145,32.658184
2001-08-15,17.448463,65.354103,23.926395,32.131927
2001-08-16,17.694139,64.755249,23.943413,30.991648
2001-08-17,17.501505,61.681164,23.546072,29.939104
2001-08-20,17.747179,62.152279,23.324684,31.143698
2001-08-21,17.730431,60.204029,22.938679,30.640804
2001-08-22,18.048695,61.880787,23.387117,31.272335
2001-08-23,18.146406,62.040474,23.114655,30.693434
2001-08-24,17.65506,64.91494,23.23385,33.096756
2001-08-27,17.518259,65.394035,23.330349,32.950554
2001-08-28,17.269783,64.715324,22.984097,31.898027
2001-08-29,16.764494,64.515724,22.461849,31.482847
2001-08-30,16.814739,63.565559,22.274538,30.582336
2001-08-31,17.169281,63.956829,22.365351,31.196314
2001-09-04,17.283749,63.573555,22.609449,30.52384
2001-09-05,17.425913,62.719177,21.769329,30.237318
2001-09-06,16.99659,61.56144,20.968943,28.945036
2001-09-07,16.658257,59.469437,21.002998,28.102991
2001-09-10,16.390995,60.842793,21.150581,28.594191
2001-09-17,15.452735,55.413258,20.009607,24.851797
2001-09-18,15.657446,53.896179,19.776878,24.676374
2001-09-19,15.637541,53.904182,19.362495,24.553583
2001-09-20,15.248029,52.498882,17.914988,21.998222
2001-09-21,14.500273,54.047886,17.494934,23.436701
2001-09-24,15.168415,56.299549,18.493984,24.881027
2001-09-25,15.66598,55.91629,18.874319,25.027222
2001-09-26,15.651759,55.772552,18.49967,25.51255
2001-09-27,16.172062,55.014023,18.80052,25.910192
2001-09-28,16.604223,56.970242,19.385199,27.103077
2001-10-01,16.760605,58.686954,19.300051,27.424694
2001-10-02,16.911289,58.766808,19.862022,27.512394
2001-10-03,17.056292,61.234058,19.873489,29.316391
2001-10-04,16.743544,63.078491,19.581144,29.316391
2001-10-05,15.95882,60.882729,19.15123,28.423204
2001-10-08,15.424309,60.124168,18.595217,28.064768
2001-10-09,14.827241,62.22414,18.887548,28.946201
2001-10-10,15.580685,64.443855,19.139763,29.733608
2001-10-11,15.523818,66.950996,19.156969,31.026365
2001-10-12,15.071748,66.112648,18.853159,30.238976
2001-10-15,15.793923,67.390221,19.231489,30.861828
2001-10-16,16.408047,67.270401,19.455032,30.908846
2001-10-17,16.234612,65.529778,19.833355,30.855965
2001-10-18,16.206177,65.002777,19.569683,30.17432
2001-10-19,16.214716,63.67733,19.414921,28.852167
2001-10-22,16.607073,65.15451,20.240358,29.815866
2001-10-23,16.749231,65.15451,20.498301,29.96279
2001-10-24,17.044922,64.276169,20.761976,29.381041
2001-10-25,17.283747,65.09182,21.48423,30.17432
2001-10-26,17.243946,66.467224,21.524357,30.609159
2001-10-29,16.916985,64.652016,20.469635,29.774734
2001-10-30,16.774818,64.012283,20.35499,29.334028
2001-10-31,16.771976,62.500957,20.26902,28.746408
2001-11-01,17.044922,64.532074,20.830769,29.645456
2001-11-02,17.306496,65.771538,20.658804,30.244833
2001-11-05,17.351988,67.738678,20.842228,30.374119
2001-11-06,17.659046,69.170067,21.518623,31.24379
2001-11-07,17.841013,69.969734,22.120508,31.643377
2001-11-08,17.940525,69.330009,22.240891,31.590479
2001-11-09,17.926311,69.457947,22.38419,31.296673
2001-11-12,17.917788,70.449524,22.240891,31.343691
2001-11-13,18.042885,72.808502,22.556156,32.842133
2001-11-14,18.054264,73.16832,22.728121,34.199532
2001-11-15,17.980337,70.929321,22.670799,33.635414
2001-11-16,17.781309,70.169624,22.590548,32.73048
2001-11-19,18.182198,72.408684,22.986071,33.735302
2001-11-20,18.057095,71.768936,22.584806,33.423862
2001-11-21,18.077,70.489487,22.263811,33.224079
2001-11-23,18.477894,72.088821,22.579084,34.005604
2001-11-26,18.460835,73.120354,22.63641,34.975193
2001-11-27,18.048573,71.968864,22.814095,33.935093
2001-11-28,17.545326,69.417969,21.495703,31.849043
2001-11-29,18.082685,71.449074,21.8167,33.05368
2001-11-30,17.451492,71.169205,21.621796,32.612946
2001-12-03,17.465715,68.778244,20.951138,30.750187
2001-12-04,17.724445,69.705811,21.335207,30.979364
2001-12-05,18.00275,73.888,22.366991,32.830372
2001-12-06,18.263657,75.087517,23.14657,33.523762
2001-12-07,18.315838,73.256294,22.796907,32.70697
2001-12-10,17.892591,73.048416,22.172089,32.113464
2001-12-11,18.104214,73.424217,22.068928,32.230995
2001-12-12,18.228872,74.151932,21.9944,32.325005
2001-12-13,17.86939,72.768532,21.260675,31.719772
2001-12-14,17.805618,71.696976,20.658804,30.879471
2001-12-17,18.336134,71.281136,21.037125,30.374119
2001-12-18,18.286856,72.608582,21.317993,31.472977
